author_name;book_id;role_name
Зеппа Ш.;1027381;автор
Кейн Р.;1239326;автор
Луганцева Т.;918255;автор
Софокл.;964873;автор
Конфуций.;444518;автор
Грэм М.;326665;автор
Бердяев Н.;1015846;автор
Корсел И.;794312;автор
Черепенчук В.;1167346;автор
Узорова О.;1205178;автор
КопусовДолинин А.;1222376;автор
Тимофеева С.;1212331;автор
Баранов П.;1196387;автор
Фрай М.;924480;автор
Устинова Т.;470150;автор
Иванова С.;261732;автор
Репников А.;982315;автор
Гвор М.;268713;автор
Данилова Е.;774863;автор
Маццука Д.;512842;автор
Жук С.;259125;автор
Бьянка П.;351616;автор
Митченко А.;894962;ред
Оуэн Л.;1059116;автор
Дрисколл Т.;1189946;автор
Хопкинс К.;773433;автор
Туловская Н.;349013;худ
Карпенко Е.;333640;автор
Боланьо Р.;338819;автор
Кизима Г.;1026338;автор
Дмитриева В.;1079474;сост
Мах М.;1213546;автор
Сморгунова Е.;824745;автор
Ллойд К.;1219236;автор
Зайцева А.;368163;автор
Кин К.;1212880;автор
Байтов Н.;404743;автор
Сабанеев Л.;951057;автор
Филиппова М.;904891;автор
Николаева О.;1208842;автор
Демченко А.;873752;автор
Уидмайер Д.;941260;сост
Скотт В.;1197371;автор
Макеев А.;760345;автор
Стоун И.;831346;автор
Дойл А.;984280;автор
Парабеллум А.;258135;автор
Грант С.;845475;автор
Мэтьюз Д.;1208893;автор
Донцова Д.;838444;автор
Воробьева Т.;287888;сост
Корсакова Т.;1085388;автор
Пол К.;1029438;автор
Льюис С.;1175385;автор
Войнович В.;323665;автор
Тургенев И.;1177228;автор
Куин Д.;1167680;автор
Зальтен Ф.;898280;автор
Алимов И.;870191;автор
Миро Л.;375792;автор
Берд Г.;942825;автор
Устинова Т.;832282;автор
Литинский Л.;1232236;авт-сост
Элфгрен С.;1022367;автор
Спектор А.;1025991;автор
Калинина Д.;695034;автор
Жилинская А.;957948;отв-ред
Барто А.;352334;автор
Некрасов А.;1026142;автор
Шушпанов А.;972025;автор
